time_steps,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
509,-1,-3,-1,-2,-3,1,-2,-1
510,0,-1,-2,1,-2,-7,1,0
511,0,-1,-2,-2,1,3,0,0
512,-1,0,0,-2,0,-2,0,0
513,-1,0,2,1,0,10,0,0
514,0,1,-1,0,-5,-7,-3,-2
515,-1,-3,-1,-5,0,1,0,-1
516,-2,-1,0,0,1,2,-2,1
517,-2,-1,-3,-3,0,-13,-1,-2
518,-2,0,2,1,1,17,2,-2
519,-1,-1,1,1,0,4,-1,0
520,-1,-2,-2,-3,-3,-8,-3,1
521,-1,0,0,1,-3,-5,-2,0
522,-1,-2,-2,0,-1,9,0,-2
523,0,-2,-1,2,-2,-3,-2,-3
524,-2,0,-3,-3,0,4,0,0
525,-1,1,-1,-1,-2,-1,-4,0
526,0,-3,-2,-1,-1,-6,-2,0
527,-1,0,1,1,-1,-1,1,-1
528,1,0,-1,0,0,-5,1,-2
529,0,-2,-1,-4,1,30,0,0
530,0,0,-2,0,-2,-7,-1,0
531,-1,-1,-1,3,-1,-1,0,-1
532,-1,-2,-1,-4,-1,-7,0,-3
533,1,-2,-1,-1,-3,-6,-2,-3
534,0,0,1,-1,-1,1,-3,0
535,-1,0,1,1,1,2,2,1
536,-1,-1,0,0,-2,-3,-2,-1
537,-2,1,0,-2,-2,-8,1,-2
538,-2,0,-1,0,0,0,-1,0
539,-2,-2,-2,-2,0,-4,-2,-1
540,-2,0,1,1,0,3,-1,1
541,-1,-2,-1,-1,-4,-9,-3,0
542,-2,0,0,-2,-1,-9,-2,-2
543,-1,-2,-1,-1,0,4,1,-3
544,0,-2,-1,0,1,12,2,-1
545,1,-1,-1,0,0,-9,-2,0
546,-1,-1,-1,-1,-3,-1,1,1
547,-1,0,-1,-2,-2,-6,0,0
548,-1,-1,0,1,-2,-8,-1,-3
549,-1,1,0,-1,-4,-5,-1,-1
550,-1,-1,0,-2,0,2,-2,0
551,0,1,0,-1,0,0,0,0
552,-1,-1,-1,-1,1,4,-1,-2
553,0,-2,1,0,0,-1,1,-2
554,-1,-1,-1,-2,0,-10,-1,0
555,-1,-2,-2,-1,-2,8,0,0
556,0,0,-2,0,-1,6,2,0
557,-1,0,-1,-1,4,-3,-2,0
558,-1,1,-3,-1,2,-1,0,-3
559,0,-1,-1,0,-1,0,-3,0
560,-3,-2,0,-1,-3,-1,-2,0
561,-1,0,0,-1,-4,-10,1,-1
562,-1,-2,0,-2,-2,3,0,0
563,0,-2,-2,-2,0,-6,-2,-2
564,0,0,-1,0,-1,-2,-3,0
565,-1,0,0,-1,0,-4,-1,-2
566,-2,0,-1,2,-1,21,1,-1
567,-2,-1,-1,-4,-3,-3,0,0
568,0,-1,0,-2,-1,-5,-2,-2
569,2,0,-2,0,0,-2,-1,0
570,0,-1,0,2,0,-1,-1,-1
571,-1,0,-2,0,-1,-2,-2,0
572,-1,-1,-1,-2,2,-1,1,-1
573,-2,0,-2,-4,1,6,-2,-1
574,0,0,0,-1,1,-5,-1,-2
575,-1,0,0,1,0,-3,1,-1
576,1,-1,-1,-1,-5,-17,-2,0
577,-2,1,1,-1,1,10,-1,-1
578,-1,-3,-2,-2,0,3,2,0
579,-2,-1,0,-1,-1,-2,-2,-1
580,-1,-1,-2,0,-2,2,-1,-3
581,-1,-1,-2,-1,-4,-4,0,0
582,0,0,0,-1,-1,-2,-1,0
583,1,-2,0,-1,0,-1,-2,-1
584,2,-2,-1,-1,-2,5,-1,-1
585,-1,-4,-1,-2,-3,-3,-3,-2
586,0,-2,-3,-2,-2,-6,-1,-2
587,0,1,-1,-1,-1,3,-1,-2
588,-1,0,0,1,2,0,-2,-1
589,0,1,-1,2,-1,-11,-2,0
590,-1,0,-1,-3,-4,-14,-3,-2
591,-2,0,-2,0,4,30,4,0
592,-1,-2,-2,-2,0,1,-3,-1
593,-1,-1,0,1,-2,-7,0,0
594,0,-2,-1,0,-1,-7,-1,0
595,-1,0,2,1,0,-6,-3,0
596,-3,1,1,0,0,1,1,0
597,0,-1,-2,-3,-2,5,-1,-1
598,0,0,0,0,-2,0,-2,-1
599,1,0,-2,-2,-1,-1,-1,-2
600,0,0,-1,1,-1,-8,-1,0
601,-2,-3,-1,0,-2,-13,-1,1
602,-2,-1,0,-2,2,28,1,-2
603,-1,-1,-2,-3,-5,-5,-1,0
604,-1,-2,0,-1,0,-5,-1,0
605,0,-2,-3,0,0,2,1,-1
